mes_ref,ano,mes,total_nascimentos,total_baixo_peso,indice_baixo_peso_pct
2013-01-01,2013,1,245038,21105,8.6129
2013-02-01,2013,2,229857,19849,8.6354
2013-03-01,2013,3,255273,22259,8.7197
2013-04-01,2013,4,256677,21921,8.5403
2013-05-01,2013,5,262954,21993,8.3638
2013-06-01,2013,6,242410,20463,8.4415
2013-07-01,2013,7,246175,20782,8.442
2013-08-01,2013,8,238436,20318,8.5214
2013-09-01,2013,9,236846,19335,8.1635
2013-10-01,2013,10,236042,19725,8.3566
2013-11-01,2013,11,222491,19217,8.6372
2013-12-01,2013,12,231828,20159,8.6957
2014-01-01,2014,1,247111,21274,8.6091
2014-02-01,2014,2,237191,20128,8.486
2014-03-01,2014,3,259821,22043,8.4839
2014-04-01,2014,4,259256,21565,8.318
2014-05-01,2014,5,265272,21919,8.2628
2014-06-01,2014,6,247922,20836,8.4043
2014-07-01,2014,7,255904,21111,8.2496
2014-08-01,2014,8,244716,20366,8.3223
2014-09-01,2014,9,247983,19682,7.9368
2014-10-01,2014,10,238208,20085,8.4317
2014-11-01,2014,11,230385,19517,8.4715
2014-12-01,2014,12,245490,21114,8.6008
2015-01-01,2015,1,253833,21866,8.6143
2015-02-01,2015,2,239707,20303,8.4699
2015-03-01,2015,3,277540,23308,8.3981
2015-04-01,2015,4,263592,22163,8.4081
2015-05-01,2015,5,269032,22210,8.2555
2015-06-01,2015,6,252239,21104,8.3667
2015-07-01,2015,7,252396,21312,8.4439
2015-08-01,2015,8,244966,20728,8.4616
2015-09-01,2015,9,250849,20188,8.0479
2015-10-01,2015,10,239945,20333,8.474
2015-11-01,2015,11,230672,19962,8.6538
2015-12-01,2015,12,242897,21211,8.7325
2016-01-01,2016,1,246388,21599,8.7663
2016-02-01,2016,2,241133,20888,8.6624
2016-03-01,2016,3,267249,22901,8.5692
2016-04-01,2016,4,256752,21973,8.5581
2016-05-01,2016,5,262413,22213,8.4649
2016-06-01,2016,6,246322,20756,8.4264
2016-07-01,2016,7,241194,20181,8.3671
2016-08-01,2016,8,232083,19136,8.2453
2016-09-01,2016,9,226505,18227,8.0471
2016-10-01,2016,10,217018,17981,8.2855
2016-11-01,2016,11,204074,17459,8.5552
2016-12-01,2016,12,216669,19164,8.8448
2017-01-01,2017,1,226414,20606,9.101
2017-02-01,2017,2,223515,19620,8.7779
2017-03-01,2017,3,266965,22844,8.5569
2017-04-01,2017,4,252941,21459,8.4838
2017-05-01,2017,5,269777,22452,8.3224
2017-06-01,2017,6,254808,21112,8.2855
2017-07-01,2017,7,249008,20604,8.2744
2017-08-01,2017,8,244608,20430,8.3521
2017-09-01,2017,9,237644,19466,8.1912
2017-10-01,2017,10,233926,19856,8.4882
2017-11-01,2017,11,229578,19449,8.4716
2017-12-01,2017,12,234351,20456,8.7288
2018-01-01,2018,1,248735,21579,8.6755
2018-02-01,2018,2,230349,19935,8.6543
2018-03-01,2018,3,264342,23031,8.7126
2018-04-01,2018,4,262426,21907,8.3479
2018-05-01,2018,5,268724,22341,8.3137
2018-06-01,2018,6,245608,20733,8.4415
2018-07-01,2018,7,246705,20561,8.3342
2018-08-01,2018,8,243961,20984,8.6014
2018-09-01,2018,9,237043,19374,8.1732
2018-10-01,2018,10,237490,19989,8.4168
2018-11-01,2018,11,228568,19365,8.4723
2018-12-01,2018,12,230981,20619,8.9267
2019-01-01,2019,1,246048,21582,8.7715
2019-02-01,2019,2,232779,20618,8.8573
2019-03-01,2019,3,257871,22256,8.6307
2019-04-01,2019,4,250164,21767,8.7011
2019-05-01,2019,5,257068,22096,8.5954
2019-06-01,2019,6,236360,20293,8.5856
2019-07-01,2019,7,240490,21078,8.7646
2019-08-01,2019,8,233817,20500,8.7675
2019-09-01,2019,9,233289,19285,8.2666
2019-10-01,2019,10,225172,19584,8.6974
2019-11-01,2019,11,214454,18874,8.801
2019-12-01,2019,12,221634,19923,8.9891
2020-01-01,2020,1,230864,20467,8.8654
2020-02-01,2020,2,220071,20070,9.1198
2020-03-01,2020,3,247191,21880,8.8515
2020-04-01,2020,4,242088,20435,8.4411
2020-05-01,2020,5,245069,20701,8.447
2020-06-01,2020,6,228270,19223,8.4212
2020-07-01,2020,7,230902,19617,8.4958
2020-08-01,2020,8,220938,18969,8.5857
2020-09-01,2020,9,225386,18022,7.9961
2020-10-01,2020,10,215495,18352,8.5162
2020-11-01,2020,11,207497,17536,8.4512
2020-12-01,2020,12,216374,19053,8.8056
2021-01-01,2021,1,222011,19933,8.9784
2021-02-01,2021,2,211814,18655,8.8073
2021-03-01,2021,3,241026,21848,9.0646
2021-04-01,2021,4,233129,20891,8.9611
2021-05-01,2021,5,239942,21122,8.803
2021-06-01,2021,6,222239,19873,8.9422
2021-07-01,2021,7,222752,19904,8.9355
2021-08-01,2021,8,219603,19392,8.8305
2021-09-01,2021,9,220926,18917,8.5626
2021-10-01,2021,10,215246,19214,8.9265
2021-11-01,2021,11,211153,18623,8.8197
2021-12-01,2021,12,217260,20109,9.2557
2022-01-01,2022,1,219825,21225,9.6554
2022-02-01,2022,2,207317,19946,9.621
2022-03-01,2022,3,234109,22172,9.4708
2022-04-01,2022,4,225578,21638,9.5922
2022-05-01,2022,5,231719,21181,9.1408
2022-06-01,2022,6,213192,19959,9.362
2022-07-01,2022,7,212832,19672,9.243
2022-08-01,2022,8,209771,19016,9.0651
2022-09-01,2022,9,193997,17782,9.1661
2022-10-01,2022,10,191061,19051,9.9712
2022-11-01,2022,11,204592,19826,9.6905
2022-12-01,2022,12,217929,20538,9.4242
2023-01-01,2023,1,222608,21124,9.4893
2023-02-01,2023,2,204105,19151,9.3829
2023-03-01,2023,3,234147,22238,9.4975
2023-04-01,2023,4,218654,20939,9.5763
2023-05-01,2023,5,231023,21851,9.4584
2023-06-01,2023,6,217299,20475,9.4225
2023-07-01,2023,7,211095,20341,9.6359
2023-08-01,2023,8,209301,19712,9.418
2023-09-01,2023,9,203776,18703,9.1782
2023-10-01,2023,10,200729,18701,9.3165
2023-11-01,2023,11,190836,18313,9.5962
2023-12-01,2023,12,194003,18886,9.7349
