ibge7,ibge6,municipio,uf,mesorregiao,microrregiao
1100015,110001,Alta Floresta D'Oeste,RO,Leste Rondoniense,Cacoal
1100023,110002,Ariquemes,RO,Leste Rondoniense,Ariquemes
1100031,110003,Cabixi,RO,Leste Rondoniense,Colorado do Oeste
1100049,110004,Cacoal,RO,Leste Rondoniense,Cacoal
1100056,110005,Cerejeiras,RO,Leste Rondoniense,Colorado do Oeste
1100064,110006,Colorado do Oeste,RO,Leste Rondoniense,Colorado do Oeste
1100072,110007,Corumbiara,RO,Leste Rondoniense,Colorado do Oeste
1100080,110008,Costa Marques,RO,Madeira-Guaporé,Guajará-Mirim
1100098,110009,Espigão D'Oeste,RO,Leste Rondoniense,Cacoal
1100106,110010,Guajará-Mirim,RO,Madeira-Guaporé,Guajará-Mirim
1100114,110011,Jaru,RO,Leste Rondoniense,Ji-Paraná
1100122,110012,Ji-Paraná,RO,Leste Rondoniense,Ji-Paraná
1100130,110013,Machadinho D'Oeste,RO,Leste Rondoniense,Ariquemes
1100148,110014,Nova Brasilândia D'Oeste,RO,Leste Rondoniense,Alvorada D'Oeste
1100155,110015,Ouro Preto do Oeste,RO,Leste Rondoniense,Ji-Paraná
1100189,110018,Pimenta Bueno,RO,Leste Rondoniense,Vilhena
1100205,110020,Porto Velho,RO,Madeira-Guaporé,Porto Velho
1100254,110025,Presidente Médici,RO,Leste Rondoniense,Ji-Paraná
1100262,110026,Rio Crespo,RO,Leste Rondoniense,Ariquemes
1100288,110028,Rolim de Moura,RO,Leste Rondoniense,Cacoal
1100296,110029,Santa Luzia D'Oeste,RO,Leste Rondoniense,Cacoal
1100304,110030,Vilhena,RO,Leste Rondoniense,Vilhena
1100320,110032,São Miguel do Guaporé,RO,Leste Rondoniense,Alvorada D'Oeste
1100338,110033,Nova Mamoré,RO,Madeira-Guaporé,Porto Velho
1100346,110034,Alvorada D'Oeste,RO,Leste Rondoniense,Alvorada D'Oeste
1100379,110037,Alto Alegre dos Parecis,RO,Leste Rondoniense,Cacoal
1100403,110040,Alto Paraíso,RO,Leste Rondoniense,Ariquemes
1100452,110045,Buritis,RO,Madeira-Guaporé,Porto Velho
1100502,110050,Novo Horizonte do Oeste,RO,Leste Rondoniense,Cacoal
1100601,110060,Cacaulândia,RO,Leste Rondoniense,Ariquemes
1100700,110070,Campo Novo de Rondônia,RO,Madeira-Guaporé,Porto Velho
1100809,110080,Candeias do Jamari,RO,Madeira-Guaporé,Porto Velho
1100908,110090,Castanheiras,RO,Leste Rondoniense,Cacoal
1100924,110092,Chupinguaia,RO,Leste Rondoniense,Vilhena
1100940,110094,Cujubim,RO,Madeira-Guaporé,Porto Velho
1101005,110100,Governador Jorge Teixeira,RO,Leste Rondoniense,Ji-Paraná
1101104,110110,Itapuã do Oeste,RO,Madeira-Guaporé,Porto Velho
1101203,110120,Ministro Andreazza,RO,Leste Rondoniense,Cacoal
1101302,110130,Mirante da Serra,RO,Leste Rondoniense,Ji-Paraná
1101401,110140,Monte Negro,RO,Leste Rondoniense,Ariquemes
1101435,110143,Nova União,RO,Leste Rondoniense,Ji-Paraná
1101450,110145,Parecis,RO,Leste Rondoniense,Vilhena
1101468,110146,Pimenteiras do Oeste,RO,Leste Rondoniense,Colorado do Oeste
1101476,110147,Primavera de Rondônia,RO,Leste Rondoniense,Vilhena
1101484,110148,São Felipe D'Oeste,RO,Leste Rondoniense,Vilhena
1101492,110149,São Francisco do Guaporé,RO,Madeira-Guaporé,Guajará-Mirim
1101500,110150,Seringueiras,RO,Leste Rondoniense,Alvorada D'Oeste
1101559,110155,Teixeirópolis,RO,Leste Rondoniense,Ji-Paraná
1101609,110160,Theobroma,RO,Leste Rondoniense,Ji-Paraná
1101708,110170,Urupá,RO,Leste Rondoniense,Ji-Paraná
1101757,110175,Vale do Anari,RO,Leste Rondoniense,Ariquemes
1101807,110180,Vale do Paraíso,RO,Leste Rondoniense,Ji-Paraná
1200013,120001,Acrelândia,AC,Vale do Acre,Rio Branco
1200054,120005,Assis Brasil,AC,Vale do Acre,Brasiléia
1200104,120010,Brasiléia,AC,Vale do Acre,Brasiléia
1200138,120013,Bujari,AC,Vale do Acre,Rio Branco
1200179,120017,Capixaba,AC,Vale do Acre,Rio Branco
1200203,120020,Cruzeiro do Sul,AC,Vale do Juruá,Cruzeiro do Sul
1200252,120025,Epitaciolândia,AC,Vale do Acre,Brasiléia
1200302,120030,Feijó,AC,Vale do Juruá,Tarauacá
1200328,120032,Jordão,AC,Vale do Juruá,Tarauacá
1200336,120033,Mâncio Lima,AC,Vale do Juruá,Cruzeiro do Sul
1200344,120034,Manoel Urbano,AC,Vale do Acre,Sena Madureira
1200351,120035,Marechal Thaumaturgo,AC,Vale do Juruá,Cruzeiro do Sul
1200385,120038,Plácido de Castro,AC,Vale do Acre,Rio Branco
1200393,120039,Porto Walter,AC,Vale do Juruá,Cruzeiro do Sul
1200401,120040,Rio Branco,AC,Vale do Acre,Rio Branco
1200427,120042,Rodrigues Alves,AC,Vale do Juruá,Cruzeiro do Sul
1200435,120043,Santa Rosa do Purus,AC,Vale do Acre,Sena Madureira
1200450,120045,Senador Guiomard,AC,Vale do Acre,Rio Branco
1200500,120050,Sena Madureira,AC,Vale do Acre,Sena Madureira
1200609,120060,Tarauacá,AC,Vale do Juruá,Tarauacá
1200708,120070,Xapuri,AC,Vale do Acre,Brasiléia
1200807,120080,Porto Acre,AC,Vale do Acre,Rio Branco
1300029,130002,Alvarães,AM,Centro Amazonense,Tefé
1300060,130006,Amaturá,AM,Sudoeste Amazonense,Alto Solimões
1300086,130008,Anamã,AM,Centro Amazonense,Coari
1300102,130010,Anori,AM,Centro Amazonense,Coari
1300144,130014,Apuí,AM,Sul Amazonense,Madeira
1300201,130020,Atalaia do Norte,AM,Sudoeste Amazonense,Alto Solimões
1300300,130030,Autazes,AM,Centro Amazonense,Manaus
1300409,130040,Barcelos,AM,Norte Amazonense,Rio Negro
1300508,130050,Barreirinha,AM,Centro Amazonense,Parintins
1300607,130060,Benjamin Constant,AM,Sudoeste Amazonense,Alto Solimões
1300631,130063,Beruri,AM,Centro Amazonense,Coari
1300680,130068,Boa Vista do Ramos,AM,Centro Amazonense,Parintins
1300706,130070,Boca do Acre,AM,Sul Amazonense,Boca do Acre
1300805,130080,Borba,AM,Sul Amazonense,Madeira
1300839,130083,Caapiranga,AM,Centro Amazonense,Coari
1300904,130090,Canutama,AM,Sul Amazonense,Purus
1301001,130100,Carauari,AM,Sudoeste Amazonense,Juruá
1301100,130110,Careiro,AM,Centro Amazonense,Manaus
1301159,130115,Careiro da Várzea,AM,Centro Amazonense,Manaus
1301209,130120,Coari,AM,Centro Amazonense,Coari
1301308,130130,Codajás,AM,Centro Amazonense,Coari
1301407,130140,Eirunepé,AM,Sudoeste Amazonense,Juruá
1301506,130150,Envira,AM,Sudoeste Amazonense,Juruá
1301605,130160,Fonte Boa,AM,Sudoeste Amazonense,Alto Solimões
1301654,130165,Guajará,AM,Sudoeste Amazonense,Juruá
1301704,130170,Humaitá,AM,Sul Amazonense,Madeira
1301803,130180,Ipixuna,AM,Sudoeste Amazonense,Juruá
1301852,130185,Iranduba,AM,Centro Amazonense,Manaus
1301902,130190,Itacoatiara,AM,Centro Amazonense,Itacoatiara
1301951,130195,Itamarati,AM,Sudoeste Amazonense,Juruá
1302009,130200,Itapiranga,AM,Centro Amazonense,Itacoatiara
1302108,130210,Japurá,AM,Norte Amazonense,Japurá
1302207,130220,Juruá,AM,Sudoeste Amazonense,Juruá
1302306,130230,Jutaí,AM,Sudoeste Amazonense,Alto Solimões
1302405,130240,Lábrea,AM,Sul Amazonense,Purus
1302504,130250,Manacapuru,AM,Centro Amazonense,Manaus
1302553,130255,Manaquiri,AM,Centro Amazonense,Manaus
1302603,130260,Manaus,AM,Centro Amazonense,Manaus
1302702,130270,Manicoré,AM,Sul Amazonense,Madeira
1302801,130280,Maraã,AM,Norte Amazonense,Japurá
1302900,130290,Maués,AM,Centro Amazonense,Parintins
1303007,130300,Nhamundá,AM,Centro Amazonense,Parintins
1303106,130310,Nova Olinda do Norte,AM,Centro Amazonense,Itacoatiara
1303205,130320,Novo Airão,AM,Norte Amazonense,Rio Negro
1303304,130330,Novo Aripuanã,AM,Sul Amazonense,Madeira
1303403,130340,Parintins,AM,Centro Amazonense,Parintins
1303502,130350,Pauini,AM,Sul Amazonense,Boca do Acre
1303536,130353,Presidente Figueiredo,AM,Centro Amazonense,Rio Preto da Eva
1303569,130356,Rio Preto da Eva,AM,Centro Amazonense,Rio Preto da Eva
1303601,130360,Santa Isabel do Rio Negro,AM,Norte Amazonense,Rio Negro
1303700,130370,Santo Antônio do Içá,AM,Sudoeste Amazonense,Alto Solimões
1303809,130380,São Gabriel da Cachoeira,AM,Norte Amazonense,Rio Negro
1303908,130390,São Paulo de Olivença,AM,Sudoeste Amazonense,Alto Solimões
1303957,130395,São Sebastião do Uatumã,AM,Centro Amazonense,Parintins
